trial_number,value_for_optimization,fold_metrics
13,0.92187993547481,"[0.916010498687664, 0.9203296703296703, 0.9196891191709845, 0.9189944134078212, 0.9289617486338798, 0.9378531073446328, 0.9060052219321149, 0.9272237196765498, 0.9050131926121372, 0.9387186629526463]"
14,0.9208020764941564,"[0.9156010230179028, 0.9206349206349206, 0.9187817258883249, 0.9164420485175202, 0.9331550802139037, 0.9368131868131868, 0.8997429305912596, 0.9263157894736842, 0.9109947643979057, 0.9295392953929539]"
15,0.9206572616248488,"[0.9097938144329897, 0.9186991869918699, 0.9205128205128205, 0.9205479452054794, 0.9301075268817204, 0.9366391184573003, 0.9112271540469974, 0.9238845144356955, 0.9060052219321149, 0.9291553133514986]"
16,0.919325782817977,"[0.9102564102564102, 0.9151193633952255, 0.9141414141414141, 0.9230769230769231, 0.9354838709677419, 0.9316939890710383, 0.9041450777202072, 0.925531914893617, 0.8997429305912596, 0.9340659340659341]"
17,0.9164443026749467,"[0.907928388746803, 0.9098143236074271, 0.9164556962025316, 0.9115281501340483, 0.9276139410187667, 0.9333333333333333, 0.897172236503856, 0.9216710182767625, 0.9064935064935065, 0.9324324324324325]"
18,0.9163168228616583,"[0.907035175879397, 0.918848167539267, 0.9120603015075377, 0.912, 0.9232804232804233, 0.9418282548476454, 0.8951406649616368, 0.918848167539267, 0.9020618556701031, 0.9320652173913043]"
19,0.9191816274254367,"[0.9104859335038363, 0.9122340425531915, 0.916243654822335, 0.9135135135135135, 0.9324324324324325, 0.9442896935933147, 0.910761154855643, 0.9210526315789473, 0.8994845360824743, 0.9313186813186813]"
20,0.9200633362493347,"[0.9189873417721519, 0.9267015706806283, 0.9331619537275064, 0.9031413612565445, 0.926509186351706, 0.935656836461126, 0.8948717948717949, 0.9246753246753247, 0.9130434782608695, 0.9238845144356955]"
21,0.9241678939423663,"[0.9203084832904884, 0.9299191374663073, 0.9177377892030848, 0.918918918918919, 0.9299191374663073, 0.9418282548476454, 0.9109947643979057, 0.9365079365079365, 0.9060052219321149, 0.9295392953929539]"
22,0.9211642490285398,"[0.9107142857142857, 0.9228723404255319, 0.916243654822335, 0.9144385026737968, 0.93048128342246, 0.9366391184573003, 0.904639175257732, 0.9336870026525199, 0.9145077720207254, 0.9274193548387096]"
23,0.9248789863934068,"[0.9153846153846154, 0.9272237196765498, 0.9230769230769231, 0.9264305177111717, 0.9301075268817204, 0.9393939393939394, 0.9086161879895561, 0.9312169312169312, 0.9105263157894737, 0.9368131868131868]"
24,0.9233862612006618,"[0.9128205128205128, 0.925531914893617, 0.9187817258883249, 0.9182561307901907, 0.936, 0.9449035812672176, 0.9088541666666666, 0.9315789473684211, 0.9072164948453608, 0.9299191374663073]"
25,0.9191013198022944,"[0.9123711340206185, 0.9135135135135135, 0.9183673469387755, 0.9211956521739131, 0.9274193548387096, 0.9395604395604396, 0.905511811023622, 0.9175257731958762, 0.9069767441860465, 0.9285714285714286]"
26,0.9229836682725747,"[0.9151670951156813, 0.9234972677595629, 0.9209183673469388, 0.9287671232876712, 0.9299191374663073, 0.9392265193370166, 0.9067357512953368, 0.9232804232804233, 0.905511811023622, 0.9368131868131868]"
27,0.9179679378986701,"[0.9102564102564102, 0.9146666666666666, 0.9095477386934674, 0.9137466307277629, 0.93048128342246, 0.9419889502762431, 0.9060052219321149, 0.9216710182767625, 0.9038961038961039, 0.9274193548387096]"
28,0.9215494258039495,"[0.9193954659949622, 0.9102564102564102, 0.9246231155778895, 0.9173333333333333, 0.9289473684210526, 0.9358288770053476, 0.910761154855643, 0.9244791666666666, 0.9107142857142857, 0.9331550802139037]"
29,0.919445572683256,"[0.916030534351145, 0.9285714285714286, 0.9170854271356784, 0.9193548387096774, 0.9287598944591029, 0.9324324324324325, 0.8994845360824743, 0.917312661498708, 0.9083969465648855, 0.927027027027027]"
30,0.9205944846060902,"[0.910025706940874, 0.9232804232804233, 0.9183673469387755, 0.9180327868852459, 0.9283819628647215, 0.9397260273972603, 0.9043927648578811, 0.9263157894736842, 0.9076923076923077, 0.9297297297297298]"
31,0.9216703644011875,"[0.9102564102564102, 0.9276139410187667, 0.9179487179487179, 0.9266304347826086, 0.9283819628647215, 0.9315068493150684, 0.9015544041450777, 0.9240837696335078, 0.9112271540469974, 0.9375]"
32,0.9201535106966015,"[0.9076923076923077, 0.9166666666666666, 0.9158163265306123, 0.9209809264305178, 0.9272237196765498, 0.9441340782122905, 0.910761154855643, 0.9210526315789473, 0.9031413612565445, 0.9340659340659341]"
33,0.9226883701569198,"[0.9132653061224489, 0.9228723404255319, 0.9139240506329114, 0.9220430107526881, 0.9353099730458221, 0.9368131868131868, 0.9088541666666666, 0.931758530183727, 0.9097938144329897, 0.9322493224932249]"
34,0.920389603940208,"[0.9211195928753181, 0.9358288770053476, 0.916243654822335, 0.9148936170212766, 0.917098445595855, 0.9349593495934959, 0.8976982097186701, 0.920844327176781, 0.9147286821705426, 0.93048128342246]"
35,0.9214013053200242,"[0.9104859335038363, 0.9211956521739131, 0.9185750636132316, 0.9232876712328767, 0.9297297297297298, 0.9436619718309859, 0.9033942558746736, 0.9259259259259259, 0.90625, 0.9315068493150684]"
36,0.918236787754475,"[0.9134860050890585, 0.9212598425196851, 0.9141414141414141, 0.9166666666666666, 0.93048128342246, 0.9346049046321526, 0.8923076923076924, 0.9186351706036745, 0.9090909090909091, 0.9316939890710383]"
37,0.9248581466128067,"[0.9195979899497487, 0.9358288770053476, 0.9258312020460358, 0.9245283018867925, 0.9363395225464191, 0.9351351351351351, 0.9043927648578811, 0.9291338582677166, 0.9097938144329897, 0.928]"
38,0.9226393466602835,"[0.9196891191709845, 0.925207756232687, 0.917098445595855, 0.925, 0.926829268292683, 0.9275766016713092, 0.9050131926121372, 0.9302949061662198, 0.9102902374670184, 0.9393939393939394]"
39,0.9213674696713768,"[0.9185750636132316, 0.9261213720316622, 0.9185750636132316, 0.9151193633952255, 0.9285714285714286, 0.9421487603305785, 0.9041450777202072, 0.9293193717277487, 0.903485254691689, 0.9276139410187667]"
40,0.9212938032510862,"[0.9187817258883249, 0.9268929503916449, 0.926208651399491, 0.9173333333333333, 0.9293193717277487, 0.9331550802139037, 0.8974358974358975, 0.9270833333333334, 0.9130434782608695, 0.9236842105263158]"
41,0.9254571132981291,"[0.9177377892030848, 0.9251336898395722, 0.9205128205128205, 0.9315068493150684, 0.9310344827586207, 0.9392265193370166, 0.9088541666666666, 0.9385026737967914, 0.9043927648578811, 0.9376693766937669]"
42,0.9230588486290061,"[0.9181585677749361, 0.9243243243243243, 0.910941475826972, 0.9287671232876712, 0.9331550802139037, 0.9212121212121213, 0.9080779944289693, 0.9313984168865436, 0.9197707736389685, 0.9347826086956522]"
43,0.9259967718678839,"[0.9166666666666666, 0.9306666666666666, 0.9236641221374046, 0.9272237196765498, 0.9410187667560321, 0.9299191374663073, 0.9177718832891246, 0.9368421052631579, 0.9147286821705426, 0.9214659685863874]"
44,0.9250848786597239,"[0.9187817258883249, 0.9287598944591029, 0.9357326478149101, 0.9222520107238605, 0.9312169312169312, 0.9333333333333333, 0.9112271540469974, 0.927461139896373, 0.9083969465648855, 0.9336870026525199]"
45,0.9152399814007468,"[0.9063291139240506, 0.9259259259259259, 0.9, 0.9056603773584906, 0.9310344827586207, 0.9320652173913043, 0.8923076923076924, 0.9186351706036745, 0.9136125654450262, 0.926829268292683]"
