LogP-R,Flexibility-R,HBA-R,HBD-R,TPSA-R,Charge-R,Atom_Stereo-R,LogP-P,Flexibility-P,HBA-P,HBD-P,TPSA-P,Charge-P,Atom_Stereo-P,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.012980946,-0.002957543,0.01287483,0.3698,0.17450577,0.030588627,0.015512209,0.10985019,-0.0124168545,0.028239641,0.087188914,0.7217891,0.024643669,0.027338993,0.06500359,0.030971799,0.1542535,0.035315055,0.054271206,0.076048344,0.18968526,0.14376877,0.013661291,0.15285961,0.004277317,0.00015568527,0.003574355,-0.00022428643,-0.0,-0.0,0.049135994,0.024211563,0.022037357,0.059617456,-0.08262052,-0.019561652,-0.013076356,-0.0055510434,0.0024867344,-0.0,0.014958814,0.005154998,0.054975744,0.046098035,0.008603526,0.03795301,0.04165339,0.09686217,-0.0,-1.6984095e-05,-0.0,0.018602435,0.028220523,0.08282803
0.02632328,0.07056869,0.15382792,0.36790922,0.1462192,0.020628365,0.05951152,0.07710105,0.08457053,0.18647243,0.0960619,0.37502173,0.016491776,0.027129397,0.034850936,-0.13158776,0.028304923,0.07293288,0.05307478,0.021271316,0.14021055,0.14296442,0.022312684,0.13735549,0.13181922,0.00018601984,0.0049824794,-0.00044856922,-0.0,-0.0,-0.008195243,-0.0043762205,-0.2341566,0.078616895,-0.15223637,-0.03952099,0.0021099462,-0.0051733293,0.002343854,-0.0,0.013205365,0.0045379857,0.07987676,-0.016362458,0.018436633,0.010445508,0.03698995,-0.035324212,-0.0,-1.6759686e-05,-0.0,0.053485606,-0.012357203,0.09152602
-0.13096343,0.07976656,0.09865356,-0.17183161,-0.33309266,0.020512411,0.07248882,-0.57647353,-0.06444102,0.06283102,-0.021218397,0.26551682,0.014980764,0.044241477,-0.073936276,0.09448994,-0.10824773,0.1320051,-0.05560617,-0.073392585,0.037589796,-0.0843586,0.037107583,-0.012212524,-0.022499153,0.00023508715,0.0034106423,-0.00081302645,-0.0,-0.0,-0.079438224,0.008369089,0.008815516,-0.038788542,0.40581778,0.18299738,0.03343931,-0.0064667556,0.0023069123,-0.0,0.019603344,0.00482133,0.030378677,-0.009494244,0.019121934,-0.06060637,-0.01910669,-0.08726766,-0.0,-2.4363675e-05,-0.0,-0.023345869,-0.06309673,0.028202973
-0.17658804,-0.058775425,-0.054736163,-0.30223832,-0.5591052,0.010306782,0.024923034,0.21818139,0.0760814,0.009589841,-0.0951035,-0.94047284,0.008332971,0.05348456,0.0028231873,-0.1688732,0.059973247,-0.03467767,0.019901166,-0.010041642,-0.019482477,-0.030949585,-0.057518974,-0.008348793,0.0012665526,0.00018174294,0.0025289967,-0.0006462869,-0.0,-0.0,0.03705979,0.014490132,0.0024529905,0.024066078,0.18712232,0.033620596,-0.097126015,0.51606214,0.0051104845,-0.0,-0.20761499,-0.07511644,0.0051279967,-0.005144139,0.03108862,-0.014925757,0.048758104,-0.030780016,-0.0,-0.00013832787,-0.0,0.009714109,0.006578966,-0.0020882874
0.009718465,0.13352482,0.06458997,0.28840202,0.49128205,0.040127028,0.07699829,0.13137355,0.065205626,0.055574946,0.08093778,0.94031465,0.0244276,0.01728522,0.12504749,0.19726057,0.032229543,0.111253366,0.20043303,0.015622642,-0.061286226,0.084386,0.031038368,-0.011024044,0.11601066,0.00025902456,0.0037732234,-0.00021853638,-0.0,-0.0,-0.023303442,0.059762374,0.011438404,0.0067935847,0.51463103,0.1331006,0.020160256,-0.004054626,0.0044419663,-0.0,0.020783065,0.0063711735,0.054177493,0.011786735,0.010490692,0.022179708,-0.017516062,-0.06124136,-0.0,-2.0791074e-05,-0.0,0.006157408,0.015060537,-0.059247907
0.021263422,-0.020629656,-0.10386918,-0.22518063,-0.39507052,0.010761807,0.028493593,-0.045263786,-0.059646565,0.0012478557,-0.035624173,-1.4379369,0.0098473495,-0.052839067,-0.028427236,-0.08232117,0.060371116,-0.07969656,-0.0154585745,-0.008999209,-0.050397616,-0.08228189,-0.034729812,-0.00828299,0.00052762043,0.0001531435,0.0024715457,-0.0006403054,-0.0,-0.0,-0.01609682,-0.0068399236,0.003199998,0.004263128,0.15030406,0.045758214,0.1653944,0.1974093,0.004105957,-0.0,-0.25345647,-0.07332444,-0.022520324,-0.021674922,0.008338416,-0.026079582,0.13376695,0.06319989,-0.0,-0.00013832787,-0.0,0.002827545,0.13048935,-0.03406588
-0.29429933,-0.057551514,0.1268565,0.44516674,-0.03473636,0.0288355,0.03512111,0.05910619,0.03330286,-0.019650059,0.1039892,0.5351514,0.021164896,0.032534372,0.017403893,0.00040282786,0.07090528,0.081101954,0.060299527,0.079628974,0.15699792,0.107976235,0.0021536262,-0.010166692,0.011227871,0.00025614278,0.004120698,-0.0003090293,-0.0,-0.0,0.040072463,0.096782364,-0.25749335,-0.021866359,-0.13521358,-0.06015921,-0.012383403,-0.007956607,0.0022871206,-0.0,0.03565734,0.014318834,0.05737278,-0.01764353,0.0078059407,0.014999784,0.063339606,0.11008572,-0.0,-1.7981289e-05,-0.0,-0.034416173,-0.021481818,0.026221124
0.037959035,0.036942743,0.020066082,0.3320948,0.64720374,0.03664542,0.082971334,0.07673166,0.02486147,-0.047217418,0.07909502,0.81318676,0.024688033,0.117921375,0.09775344,-0.044084873,0.09286585,-0.026000058,-0.03329391,0.02745466,0.12636936,0.111601785,0.016778374,-0.009860439,-0.002500465,0.00016351951,0.00413926,4.3619693e-05,-0.0,-0.0,0.014775524,0.09173856,0.013743161,-0.008186374,0.23717211,-0.026327446,0.02242552,-0.0032662433,0.003089102,-0.0,0.014731675,0.0061215633,0.03521327,0.05834742,0.030006919,0.0042526317,0.037651323,-0.037879698,-0.0,-3.0339861e-05,-0.0,-0.014927089,0.10510765,0.06242884
0.21172248,-0.09319535,0.06615164,0.47177926,0.8714125,0.051054746,0.13657767,0.23337038,0.06046889,-0.14412704,0.14377172,0.95223695,0.032472786,0.10921801,-0.015124045,0.19378158,-0.09722383,0.13168229,-0.004962375,0.057879724,0.18732917,0.0016653473,0.033293225,-0.011755537,0.008727997,0.0007323045,0.0054454855,-0.00015847736,-0.0,-0.0,-0.06798658,0.05033608,0.012429085,0.010309978,-0.16407719,-0.047994792,-0.0019389678,-0.0015538732,0.0018233163,-0.0,0.01241673,0.0049937167,0.07677886,-0.0019419347,0.031489525,0.008550704,-0.04753576,-0.037835248,-0.0,-1.7980154e-05,-0.0,-0.005519729,-0.043534383,-0.07231812
0.013664109,-0.014985425,0.1597662,0.38220945,0.18652047,0.03151915,0.028387576,0.12400285,-0.051539253,0.027485829,0.09151145,0.6580137,0.02383766,0.025805887,0.04516668,0.040762596,-0.0937601,-0.0127059845,0.03806965,-0.008854591,0.17692335,0.21894854,0.010348934,-0.010617304,0.004851914,0.00040510093,0.0049102376,-0.0002584401,-0.0,-0.0,0.033320095,0.09459508,0.019407831,0.038025536,-0.07318585,-0.015109376,-0.00677985,-0.0032463972,0.0024579389,-0.0,0.01076034,0.0037352887,0.05949095,-0.01736904,-0.0025561918,0.03997655,0.08487412,0.15782318,-0.0,-1.9112671e-05,-0.0,0.012169514,0.014414323,0.09723032
