trial_number,value_for_optimization,fold_metrics
12,0.907657270072041,"[0.9180327868852459, 0.9111969111969112, 0.9191919191919192, 0.8946684005201561, 0.9135483870967742, 0.9050715214564369, 0.8905852417302799, 0.9088575096277278, 0.9063291139240506, 0.9090909090909091]"
13,0.9048924627463185,"[0.9180327868852459, 0.9014084507042254, 0.9152970922882427, 0.8972691807542262, 0.9079118028534371, 0.9001297016861219, 0.8900255754475703, 0.9114249037227214, 0.9047013977128335, 0.9027237354085603]"
14,0.9070548218432968,"[0.917617237008872, 0.9018087855297158, 0.9240506329113924, 0.894393741851369, 0.9187096774193548, 0.9086161879895561, 0.8860435339308579, 0.9114249037227214, 0.9063291139240506, 0.9015544041450777]"
15,0.8983392893767516,"[0.9015151515151515, 0.8985879332477535, 0.9113924050632911, 0.8857142857142857, 0.9024707412223667, 0.89501312335958, 0.8911651728553137, 0.9002557544757033, 0.8991060025542784, 0.8981723237597912]"
16,0.909332059250292,"[0.9215189873417722, 0.9111969111969112, 0.9267676767676768, 0.8958333333333334, 0.9153846153846154, 0.9058064516129032, 0.8928571428571429, 0.9183673469387755, 0.9049429657794676, 0.9006451612903226]"
17,0.9086400852053347,"[0.9178255372945638, 0.9086229086229086, 0.9178255372945638, 0.8963730569948186, 0.9121447028423773, 0.9053177691309987, 0.9007633587786259, 0.9165596919127086, 0.9063291139240506, 0.904639175257732]"
18,0.9021111681807301,"[0.9104665825977302, 0.8997429305912596, 0.9111675126903553, 0.8828125, 0.9027237354085603, 0.9040735873850198, 0.8988476312419974, 0.9086229086229086, 0.9033078880407125, 0.8993464052287582]"
19,0.9055871712926866,"[0.9205548549810845, 0.9029754204398448, 0.9180327868852459, 0.8897535667963683, 0.909323116219668, 0.9064935064935065, 0.8919949174078781, 0.907928388746803, 0.9070063694267516, 0.9018087855297158]"
20,0.9032129775430949,"[0.914572864321608, 0.908150064683053, 0.914572864321608, 0.8811369509043928, 0.9028132992327366, 0.9024707412223667, 0.8922686945500634, 0.9102564102564102, 0.9097839898348158, 0.8961038961038961]"
21,0.9104045909957577,"[0.9219143576826196, 0.9111969111969112, 0.9331651954602774, 0.8932291666666666, 0.9135483870967742, 0.9050715214564369, 0.8942675159235669, 0.9156010230179028, 0.9111675126903553, 0.9048843187660668]"
22,0.9062618387889853,"[0.9164556962025316, 0.9011553273427471, 0.9139240506329114, 0.8920676202860858, 0.9123711340206185, 0.9088541666666666, 0.896551724137931, 0.9107142857142857, 0.9033078880407125, 0.9072164948453608]"
