number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
47,0.9037550593682082,0.9037550593682082,0.5793003706315389,203,0.264624678245315,0.010227137103525684,13,9,2098,0.9793583782062357,4.3267955562431935,0.5263103889898151,COMPLETE
48,0.901373737042942,0.901373737042942,0.6524688376429053,101,2.4525396326142888,0.008270136685398334,8,1,1860,0.5127055231834882,4.465179527416347,0.6247225417102109,COMPLETE
49,0.8942619417276754,0.8942619417276754,0.6857345212141616,33,1.6790653975896443,0.005741617132426034,29,2,2877,1.3460250506179658,3.5611594528407204,0.57453095113233,COMPLETE
50,0.9050851277303467,0.9050851277303467,0.7520058041344946,151,1.2693840865864197,0.09495941411628826,26,4,2654,0.9977000212938025,4.7106195241878766,0.8016954559113229,COMPLETE
51,0.9105440718830964,0.9105440718830964,0.6743591379702534,123,0.472396869219395,0.00865064089475745,29,1,2463,0.7049129901132595,3.804527941837991,0.6718260987335306,COMPLETE
52,0.9076724837799816,0.9076724837799816,0.618485679156151,82,0.24915005261640016,0.007448284280610214,22,1,2410,1.4926050060318543,4.158115779135662,0.7226931646210161,COMPLETE
53,0.9092002913579261,0.9092002913579261,0.7026650860551272,107,0.70755580620386,0.009211351697380778,27,1,2599,0.2658353731614542,4.196012700507474,0.713842252044774,COMPLETE
54,0.9078647186256219,0.9078647186256219,0.6756775980651568,66,0.21660120235995425,0.010937777013136911,24,2,2130,1.1286380466329637,4.409871083066718,0.6413267213212018,COMPLETE
55,0.9063401883777479,0.9063401883777479,0.652055533362598,328,0.8749906159216776,0.007008020528493286,29,6,2302,0.861776267483849,3.4227166843972863,0.7491190588570044,COMPLETE
56,0.9089682053359034,0.9089682053359034,0.7386079052390971,168,0.6128631432445788,0.01443924466496873,20,2,2853,0.5690098473996383,3.668527623343949,0.6161825681567217,COMPLETE
57,0.8900052465206919,0.8900052465206919,0.5150216961978668,145,4.719026658136736,0.009567888927570874,17,3,2530,1.9082783976179511,3.8731803722009017,0.6854005379086183,COMPLETE
58,0.9108860689850105,0.9108860689850105,0.5752372011820873,93,0.35380477949320555,0.013107304810676332,26,1,1732,0.40235944228811055,3.0392152872534934,0.5305426707334542,COMPLETE
59,0.9116073202116037,0.9116073202116037,0.5750882966198787,98,0.15390731598975255,0.012968155512087897,26,2,1671,0.40992705810584895,3.0590022266940173,0.5202478804850231,COMPLETE
60,0.9080408000895435,0.9080408000895435,0.5512173889231291,36,0.14481136801643618,0.011033087534706117,29,2,1501,0.11800420624951358,2.6803308861185413,0.43732493160957664,COMPLETE
61,0.9126735360572289,0.9126735360572289,0.5850130661234048,77,0.34280597522894096,0.01583828774627412,25,1,1702,0.4160388243616552,3.0686297620584266,0.49474028797470837,COMPLETE
62,0.9094150754808672,0.9094150754808672,0.5204783289887841,51,0.7182068196025895,0.015538220522190553,27,1,1252,0.5806735923955421,2.174089537929981,0.4972166352982446,COMPLETE
63,0.9103515150499639,0.9103515150499639,0.5789287494169999,72,0.5792356496632,0.01754017130912114,25,2,1668,0.19529975951313527,2.970149627991711,0.4937512559252633,COMPLETE
64,0.9107844916809237,0.9107844916809237,0.6308078291928497,128,0.17245516492044527,0.007739005545350915,28,1,1355,1.0948080172894779,2.1675204896920235,0.45824503430187136,COMPLETE
65,0.9055263591093835,0.9055263591093835,0.6169780898539905,78,0.8804770531732906,0.012157957842716673,30,1,1988,1.3651450838763313,3.977428054188119,0.5190513408693821,COMPLETE
66,0.9045936650118213,0.9045936650118213,0.5455724540813568,97,0.5087266278379234,0.020438737067291993,26,7,1838,0.8408885786928102,3.3468946479810793,0.5513780921117066,COMPLETE
67,0.8898431053128235,0.8898431053128235,0.5310604216823838,12,0.14639931504226894,0.010123315869533767,27,2,2246,0.4073509711464711,2.6749758287544076,0.5861832304174295,COMPLETE
68,0.9002448228983612,0.9002448228983612,0.7136082293407883,60,4.022515082702882,0.07812824470022403,22,1,919,0.010520289922214987,3.1540959894166445,0.6045678815451497,COMPLETE
69,0.9066839308034303,0.9066839308034303,0.587721945067958,24,1.2954889642260305,0.03354795346428321,28,2,1653,0.69360966587175,2.372397566536926,0.7085423585448022,COMPLETE
70,0.9083949228299628,0.9083949228299628,0.6403962988055979,185,1.0927238255920408,0.005703256211978226,25,1,2734,0.45582415898098155,3.710868685659865,0.7549711904741169,COMPLETE
71,0.910470809328028,0.910470809328028,0.5632883620289013,92,0.35842712371298924,0.012805112446664407,26,1,1741,0.3344299219225305,3.0081002337173346,0.5350020657983161,COMPLETE
72,0.9122893542326735,0.9122893542326735,0.576849345577064,109,0.3297203875002403,0.013589818997047445,19,1,1990,0.6395971561493885,3.475466680308319,0.6615278654988206,COMPLETE
73,0.9095508297604944,0.9095508297604944,0.5351053132231232,113,0.7499165321633836,0.01674213759355604,19,1,1582,0.6041010325836036,3.543814838675495,0.662818511730144,COMPLETE
74,0.9122749150282017,0.9122749150282017,0.5022569841111226,108,0.01567464302051652,0.013700836675400532,18,2,2001,0.8132958758122065,4.308444654301212,0.6420624878194682,COMPLETE
