trial_number,value_for_optimization,fold_metrics
42,0.8978239574587183,"[0.9193954659949622, 0.8992443324937027, 0.924433249370277, 0.8740554156171285, 0.8964646464646465, 0.8838383838383839, 0.8838383838383839, 0.9065656565656566, 0.898989898989899, 0.8914141414141414]"
43,0.8973176347861488,"[0.924433249370277, 0.8916876574307305, 0.9345088161209067, 0.871536523929471, 0.8888888888888888, 0.8939393939393939, 0.8838383838383839, 0.8964646464646465, 0.8939393939393939, 0.8939393939393939]"
44,0.8973169987023892,"[0.9168765743073047, 0.9042821158690176, 0.9269521410579346, 0.8765743073047859, 0.9040404040404041, 0.8838383838383839, 0.8813131313131313, 0.8964646464646465, 0.9015151515151515, 0.8813131313131313]"
45,0.8942949647609598,"[0.9118387909319899, 0.8916876574307305, 0.9168765743073047, 0.871536523929471, 0.898989898989899, 0.8888888888888888, 0.8787878787878788, 0.8964646464646465, 0.9015151515151515, 0.8863636363636364]"
46,0.895558863191105,"[0.9118387909319899, 0.889168765743073, 0.9168765743073047, 0.8690176322418136, 0.898989898989899, 0.8888888888888888, 0.8939393939393939, 0.8964646464646465, 0.898989898989899, 0.8914141414141414]"
47,0.8758860646769968,"[0.8816120906801007, 0.8589420654911839, 0.9017632241813602, 0.8488664987405542, 0.8762626262626263, 0.8611111111111112, 0.8762626262626263, 0.8888888888888888, 0.8888888888888888, 0.8762626262626263]"
48,0.8907602473093658,"[0.9118387909319899, 0.8942065491183879, 0.9193954659949622, 0.8639798488664987, 0.8914141414141414, 0.8762626262626263, 0.8914141414141414, 0.8914141414141414, 0.8888888888888888, 0.8787878787878788]"
49,0.8995852733887999,"[0.924433249370277, 0.9042821158690176, 0.9370277078085643, 0.8765743073047859, 0.9065656565656566, 0.8787878787878788, 0.8838383838383839, 0.9015151515151515, 0.8964646464646465, 0.8863636363636364]"
50,0.8930336106658524,"[0.9143576826196473, 0.8866498740554156, 0.9143576826196473, 0.871536523929471, 0.8939393939393939, 0.8762626262626263, 0.8863636363636364, 0.9015151515151515, 0.9090909090909091, 0.8762626262626263]"
51,0.8970670177849019,"[0.9168765743073047, 0.8967254408060453, 0.9219143576826196, 0.8790931989924433, 0.898989898989899, 0.8762626262626263, 0.8939393939393939, 0.8964646464646465, 0.898989898989899, 0.8914141414141414]"
52,0.8968183090349336,"[0.9143576826196473, 0.8942065491183879, 0.9168765743073047, 0.8740554156171285, 0.898989898989899, 0.8888888888888888, 0.8888888888888888, 0.9015151515151515, 0.898989898989899, 0.8914141414141414]"
53,0.8995884538075976,"[0.924433249370277, 0.8992443324937027, 0.929471032745592, 0.8765743073047859, 0.8939393939393939, 0.8914141414141414, 0.8914141414141414, 0.9116161616161617, 0.8888888888888888, 0.8888888888888888]"
54,0.9023624150828182,"[0.924433249370277, 0.9093198992443325, 0.9319899244332494, 0.8790931989924433, 0.898989898989899, 0.8838383838383839, 0.8888888888888888, 0.9065656565656566, 0.9015151515151515, 0.898989898989899]"
55,0.8995871816400784,"[0.9193954659949622, 0.9118387909319899, 0.924433249370277, 0.8790931989924433, 0.898989898989899, 0.8888888888888888, 0.8863636363636364, 0.8964646464646465, 0.9065656565656566, 0.8838383838383839]"
56,0.8973182708699083,"[0.9219143576826196, 0.9017632241813602, 0.9219143576826196, 0.8740554156171285, 0.9015151515151515, 0.8838383838383839, 0.8787878787878788, 0.9015151515151515, 0.8964646464646465, 0.8914141414141414]"
57,0.894544945678447,"[0.924433249370277, 0.889168765743073, 0.9193954659949622, 0.8690176322418136, 0.8863636363636364, 0.8813131313131313, 0.8838383838383839, 0.9090909090909091, 0.898989898989899, 0.8838383838383839]"
58,0.899083403302547,"[0.924433249370277, 0.8967254408060453, 0.9319899244332494, 0.8765743073047859, 0.898989898989899, 0.8813131313131313, 0.8863636363636364, 0.9015151515151515, 0.9015151515151515, 0.8914141414141414]"
59,0.8983277357962498,"[0.9193954659949622, 0.8992443324937027, 0.9269521410579346, 0.8765743073047859, 0.8888888888888888, 0.8838383838383839, 0.8939393939393939, 0.8964646464646465, 0.9040404040404041, 0.8939393939393939]"
60,0.8970689260361805,"[0.9193954659949622, 0.889168765743073, 0.924433249370277, 0.8740554156171285, 0.8964646464646465, 0.8838383838383839, 0.8813131313131313, 0.9065656565656566, 0.9015151515151515, 0.8939393939393939]"
61,0.9003466656489328,"[0.9219143576826196, 0.8942065491183879, 0.929471032745592, 0.8816120906801007, 0.898989898989899, 0.8838383838383839, 0.8964646464646465, 0.898989898989899, 0.9040404040404041, 0.8939393939393939]"
62,0.8905128107269166,"[0.9093198992443325, 0.8866498740554156, 0.906801007556675, 0.8664987405541562, 0.8888888888888888, 0.8838383838383839, 0.8863636363636364, 0.9015151515151515, 0.8888888888888888, 0.8863636363636364]"
63,0.8970701982036996,"[0.9219143576826196, 0.8942065491183879, 0.9168765743073047, 0.8690176322418136, 0.898989898989899, 0.8838383838383839, 0.8914141414141414, 0.9040404040404041, 0.9015151515151515, 0.8888888888888888]"
64,0.8917748009057833,"[0.9118387909319899, 0.8866498740554156, 0.9093198992443325, 0.8639798488664987, 0.8914141414141414, 0.8813131313131313, 0.8863636363636364, 0.898989898989899, 0.898989898989899, 0.8888888888888888]"
65,0.8995909981426354,"[0.9093198992443325, 0.9017632241813602, 0.9345088161209067, 0.8740554156171285, 0.9015151515151515, 0.8914141414141414, 0.8838383838383839, 0.9090909090909091, 0.898989898989899, 0.8914141414141414]"
66,0.8948006513497699,"[0.9143576826196473, 0.8866498740554156, 0.9219143576826196, 0.8664987405541562, 0.898989898989899, 0.8762626262626263, 0.8914141414141414, 0.9015151515151515, 0.9040404040404041, 0.8863636363636364]"
67,0.8970657456173831,"[0.9269521410579346, 0.8992443324937027, 0.9219143576826196, 0.871536523929471, 0.8964646464646465, 0.8762626262626263, 0.8888888888888888, 0.9040404040404041, 0.898989898989899, 0.8863636363636364]"
68,0.8983302801312878,"[0.9143576826196473, 0.8967254408060453, 0.929471032745592, 0.871536523929471, 0.9015151515151515, 0.8888888888888888, 0.8888888888888888, 0.9040404040404041, 0.898989898989899, 0.8888888888888888]"
69,0.8922792153270743,"[0.9168765743073047, 0.8790931989924433, 0.9143576826196473, 0.8639798488664987, 0.8914141414141414, 0.8762626262626263, 0.8888888888888888, 0.898989898989899, 0.9040404040404041, 0.8888888888888888]"
70,0.8960613693611176,"[0.924433249370277, 0.8866498740554156, 0.9143576826196473, 0.871536523929471, 0.9040404040404041, 0.8762626262626263, 0.8888888888888888, 0.8964646464646465, 0.9040404040404041, 0.8939393939393939]"
71,0.8983283718800091,"[0.9143576826196473, 0.8992443324937027, 0.9319899244332494, 0.8740554156171285, 0.8964646464646465, 0.8863636363636364, 0.8863636363636364, 0.9065656565656566, 0.898989898989899, 0.8888888888888888]"
72,0.9000954125639267,"[0.924433249370277, 0.8967254408060453, 0.9219143576826196, 0.8790931989924433, 0.9015151515151515, 0.8838383838383839, 0.8888888888888888, 0.9116161616161617, 0.8964646464646465, 0.8964646464646465]"
73,0.898577716713737,"[0.9269521410579346, 0.8967254408060453, 0.9345088161209067, 0.8740554156171285, 0.9015151515151515, 0.8787878787878788, 0.8914141414141414, 0.8964646464646465, 0.8888888888888888, 0.8964646464646465]"
74,0.8804207057985394,"[0.8992443324937027, 0.8639798488664987, 0.9143576826196473, 0.8564231738035264, 0.8813131313131313, 0.8585858585858586, 0.8863636363636364, 0.8888888888888888, 0.8914141414141414, 0.8636363636363636]"
