trial_number,value_for_optimization,fold_metrics
29,0.9052729374450685,"[0.9092055485498108, 0.9079445145018915, 0.914249684741488, 0.8852459016393442, 0.9104665825977302, 0.905422446406053, 0.8965952080706179, 0.9092055485498108, 0.9078282828282829, 0.9065656565656566]"
30,0.909056198810297,"[0.9218158890290038, 0.9129886506935687, 0.9192938209331651, 0.8953341740226987, 0.9117276166456494, 0.9167717528373266, 0.8890290037831021, 0.9079445145018915, 0.9090909090909091, 0.9065656565656566]"
31,0.9098136153464023,"[0.9205548549810845, 0.9117276166456494, 0.9281210592686002, 0.8953341740226987, 0.9079445145018915, 0.9104665825977302, 0.8890290037831021, 0.9129886506935687, 0.9154040404040404, 0.9065656565656566]"
32,0.9053980855210366,"[0.9155107187894073, 0.9079445145018915, 0.9230769230769231, 0.8890290037831021, 0.9066834804539723, 0.9066834804539723, 0.8940731399747793, 0.9041614123581336, 0.9040404040404041, 0.9027777777777778]"
33,0.9129660412447297,"[0.9218158890290038, 0.9192938209331651, 0.9331651954602774, 0.8991172761664565, 0.914249684741488, 0.9129886506935687, 0.8902900378310215, 0.9180327868852459, 0.9090909090909091, 0.9116161616161617]"
34,0.9105692804463297,"[0.9218158890290038, 0.9104665825977302, 0.9319041614123581, 0.8978562421185372, 0.9117276166456494, 0.9079445145018915, 0.8915510718789408, 0.9180327868852459, 0.9154040404040404, 0.898989898989899]"
35,0.9123356834422409,"[0.9230769230769231, 0.9155107187894073, 0.9306431273644389, 0.8965952080706179, 0.914249684741488, 0.9104665825977302, 0.8877679697351829, 0.9230769230769231, 0.9166666666666666, 0.9053030303030303]"
36,0.9113255824321399,"[0.9230769230769231, 0.9104665825977302, 0.9293820933165196, 0.8991172761664565, 0.9167717528373266, 0.9092055485498108, 0.8940731399747793, 0.9192938209331651, 0.9078282828282829, 0.9040404040404041]"
37,0.9101904925675417,"[0.9230769230769231, 0.9117276166456494, 0.9230769230769231, 0.8965952080706179, 0.9167717528373266, 0.9092055485498108, 0.8940731399747793, 0.9167717528373266, 0.9040404040404041, 0.9065656565656566]"
38,0.9122092615945074,"[0.9205548549810845, 0.9155107187894073, 0.9255989911727617, 0.8953341740226987, 0.9192938209331651, 0.9092055485498108, 0.8978562421185372, 0.9192938209331651, 0.9128787878787878, 0.9065656565656566]"
39,0.91246114996115,"[0.9255989911727617, 0.914249684741488, 0.9255989911727617, 0.8978562421185372, 0.9155107187894073, 0.914249684741488, 0.8965952080706179, 0.9180327868852459, 0.9116161616161617, 0.9053030303030303]"
40,0.9075418434024993,"[0.9180327868852459, 0.9092055485498108, 0.9180327868852459, 0.8953341740226987, 0.9129886506935687, 0.9066834804539723, 0.89281210592686, 0.9155107187894073, 0.9040404040404041, 0.9027777777777778]"
41,0.912209420815978,"[0.9218158890290038, 0.9129886506935687, 0.9255989911727617, 0.9003783102143758, 0.9167717528373266, 0.9092055485498108, 0.8991172761664565, 0.9155107187894073, 0.9090909090909091, 0.9116161616161617]"
42,0.9110736940654973,"[0.9192938209331651, 0.9129886506935687, 0.9230769230769231, 0.8965952080706179, 0.9205548549810845, 0.9117276166456494, 0.8953341740226987, 0.9167717528373266, 0.9090909090909091, 0.9053030303030303]"
43,0.9056506107735618,"[0.9155107187894073, 0.9129886506935687, 0.9180327868852459, 0.8953341740226987, 0.914249684741488, 0.8776796973518285, 0.8965952080706179, 0.9167717528373266, 0.9040404040404041, 0.9053030303030303]"
44,0.9101904925675417,"[0.9230769230769231, 0.9092055485498108, 0.9230769230769231, 0.8940731399747793, 0.9180327868852459, 0.9117276166456494, 0.8953341740226987, 0.9167717528373266, 0.9065656565656566, 0.9040404040404041]"
45,0.8854705631344976,"[0.8902900378310215, 0.8675914249684742, 0.8915510718789408, 0.8764186633039092, 0.8965952080706179, 0.8789407313997478, 0.8827238335435057, 0.8890290037831021, 0.88510101010101, 0.8964646464646465]"
46,0.9120826805253035,"[0.9205548549810845, 0.9129886506935687, 0.9331651954602774, 0.8991172761664565, 0.9155107187894073, 0.9092055485498108, 0.8940731399747793, 0.9205548549810845, 0.9103535353535354, 0.9053030303030303]"
47,0.9081733157552829,"[0.9155107187894073, 0.9041614123581336, 0.9205548549810845, 0.8965952080706179, 0.9117276166456494, 0.9104665825977302, 0.8940731399747793, 0.914249684741488, 0.9078282828282829, 0.9065656565656566]"
48,0.9075427987313234,"[0.9167717528373266, 0.9117276166456494, 0.9205548549810845, 0.8915510718789408, 0.9092055485498108, 0.9079445145018915, 0.89281210592686, 0.9104665825977302, 0.9078282828282829, 0.9065656565656566]"
