number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
49,0.8912213740458015,0.8912213740458015,3,0.6670389689486524,11,1.3984191500659302,0.007930214539680212,22,2,883,0.8818565536739084,1.2578688055683638,3,5,0.9910901270721124,COMPLETE,0.7720332490615185,0.8912213740458015
50,0.8882466281310212,0.8882466281310212,3,0.6667628638602043,10,1.490727438424707,0.0013482145609981823,22,2,875,0.9707920905412895,0.8623941752369613,3,5,0.9723592439446319,COMPLETE,0.7702769478280855,0.8882466281310212
51,0.8857715430861723,0.8857715430861723,3,0.4478881444702376,12,1.4446837292235035,0.0011040444087326593,22,2,585,0.9215682408271729,0.8481179071316592,3,5,0.9956335233745199,COMPLETE,0.7483605301463265,0.8857715430861723
52,0.884393063583815,0.884393063583815,3,0.6677490537020045,21,1.2393712620638722,0.0015953958967311597,23,5,871,1.1085187844907107,1.271592438012675,3,5,0.9979714578691584,COMPLETE,0.7628208074772083,0.884393063583815
53,0.8817829457364341,0.8817829457364341,3,0.6269237812467167,68,2.0146650747308854,0.0015416497646158736,21,3,699,1.4755619776085356,0.8942955983950118,3,5,0.9672811951492901,COMPLETE,0.7619436144947521,0.8817829457364341
54,0.8903591682419659,0.8903591682419659,3,0.5598416459456902,38,0.9497117271335184,0.00481565170325348,25,2,988,0.7498899207049768,1.0980793100823578,3,5,0.8950779949401847,COMPLETE,0.7707078832452311,0.8903591682419659
55,0.8891050583657587,0.8891050583657587,3,0.5513234851847341,37,0.9196588565306008,0.002584780414801143,20,3,670,0.714348713834691,1.106836223578322,3,5,0.8880228685332966,COMPLETE,0.7601949743354017,0.8891050583657587
56,0.884393063583815,0.884393063583815,3,0.4605942308532169,250,0.6039936114959803,0.003945838405722264,28,4,230,0.682887818565385,2.2142344623974326,3,5,0.8947900700910926,COMPLETE,0.7584367578334483,0.884393063583815
57,0.8990291262135922,0.8990291262135922,3,0.5508406820295192,39,0.17365721761081332,0.002511552652136683,20,3,629,0.10866411764127581,1.926916408405817,3,5,0.8748542011801439,COMPLETE,0.7615050180035242,0.8990291262135922
58,0.8720472440944882,0.8720472440944882,3,0.5484314680663,39,0.2960408563765238,0.0023867525551279005,16,5,549,2.957282956775144,1.8808594080677445,3,5,0.8715108250346769,COMPLETE,0.7439669041599632,0.8720472440944882
59,0.8903591682419659,0.8903591682419659,3,0.5909736557613925,115,0.964864640862763,0.002664552766527949,28,3,437,0.0789203393179887,1.064455249704032,3,5,0.932446167426704,COMPLETE,0.7759748716770092,0.8903591682419659
60,0.8857677902621723,0.8857677902621723,3,0.5933596842878777,198,0.039527348918277694,0.005505149729256466,28,4,433,0.09788400821023246,1.342272232902895,3,5,0.9306444973533318,COMPLETE,0.7891327664138512,0.8857677902621723
61,0.8891013384321224,0.8891013384321224,3,0.5609142360786119,170,0.9974288406539333,0.0028252097082014684,29,3,372,0.030184185190387014,1.0801144468372315,3,5,0.8993562097357125,COMPLETE,0.7759767869455299,0.8891013384321224
62,0.8907721280602636,0.8907721280602636,3,0.5298802631107977,115,0.7256343384000243,0.0035534917809110383,20,3,735,0.5195336870840805,1.5685286035324182,3,5,0.9350318142528601,COMPLETE,0.7869397839577108,0.8907721280602636
63,0.8841698841698842,0.8841698841698842,3,0.4890391012728037,112,0.675955294107712,0.0018646694295633656,27,4,794,0.4934135666620547,1.5725320983393858,3,5,0.9453277839928844,COMPLETE,0.7658928981843254,0.8841698841698842
64,0.8886792452830189,0.8886792452830189,3,0.5333941211672594,155,0.37129684086427894,0.0034990258776524345,30,3,629,0.4251008315894332,1.7612714959398053,3,5,0.9191629218769893,COMPLETE,0.7873745499118976,0.8886792452830189
65,0.8880597014925373,0.8880597014925373,3,0.5083318053322015,123,0.007236590232063356,0.007348090379852721,25,2,299,0.27018060702955415,2.555655720085593,3,5,0.9835340766602413,COMPLETE,0.7864954416609209,0.8880597014925373
