LogP-R,Flexibility-R,HBA-R,HBD-R,TPSA-R,Charge-R,Atom_Stereo-R,LogP-P,Flexibility-P,HBA-P,HBD-P,TPSA-P,Charge-P,Atom_Stereo-P,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.09220455,0.053849977,0.049608696,0.21101011,0.34066826,0.031569317,-0.033343647,0.1284866,0.045779057,0.09258104,0.031052632,0.16856202,0.011464924,0.027240513,0.08531111,-0.102492735,0.044698734,-0.037603743,0.09523866,0.10540738,-0.005912713,0.032983784,0.017794503,0.24266358,-0.007333199,0.00042136517,0.0032172184,-0.000122181,-0.0,-0.0,0.20920198,0.11281434,0.0047295983,0.054915726,0.27007884,0.310303,0.13716128,-0.0015670824,0.0007122159,-0.0,0.023911642,0.0061583654,0.011213535,0.028942175,0.008320622,0.0009919503,0.18891874,0.07581508,-0.0,-0.00015180695,-0.0,0.025554067,0.38573644,0.026567299
0.23413469,0.017115219,0.08956394,0.14660046,0.8833204,0.055014003,0.087707095,0.127987,0.011899639,-0.037408758,0.084687404,0.99584514,0.025930554,0.14060238,0.06060669,0.2086253,0.013073702,0.16985542,0.113731936,0.012272595,0.048473183,0.04015352,0.02899359,-0.018462274,0.009352019,-0.00014248738,0.0045390273,0.00045801696,-0.0,-0.0,0.016257416,0.008131917,0.0099314805,0.014332881,0.47173578,0.21693231,0.14827366,-0.0031948052,0.0011938594,-0.0,0.016313383,0.004031806,0.015144088,-0.022289902,-0.0027009207,0.015222398,-0.04443184,-0.066398494,-0.0,-0.00015569432,-0.0,0.009271774,0.019666765,0.006055056
-0.08287713,-0.007194897,0.053944148,-0.06416874,-0.23347248,0.009078978,-0.122205436,-0.2117102,0.013824079,0.011730073,-0.028119612,-1.2613493,0.0054500774,-0.028692922,0.006195651,-0.18821163,0.05138612,-0.053487126,-0.050155114,-0.0032368675,-0.04190985,-0.05534523,-0.043887332,-0.017076543,-0.008170615,0.0005875051,0.0027247507,-0.00013005611,-0.0,-0.0,-0.006625227,-0.055824943,0.003639623,-0.024572724,0.18392234,-0.08559174,-0.025933312,-0.029218504,0.0022702748,-0.0,-0.25634733,-0.09674137,-0.019002965,0.00028242238,0.009514988,-0.03267772,0.08433361,0.09091086,-0.0,-0.0003955851,-0.0,-0.010761161,0.12720451,0.25865057
0.22985956,0.06631187,0.12053505,0.09074256,0.29621533,0.024579199,0.0017207692,0.06710279,0.18454824,0.09434427,0.037899267,-0.6241353,0.0096080415,0.13394171,0.0867597,-0.0046146014,0.25175598,0.079808354,0.09937572,0.1603405,-0.007664737,0.16939686,0.028574655,0.26986918,-0.006143795,0.0015067834,0.0036874537,-0.00014806751,-0.0,-0.0,0.2917165,0.07635817,0.005560978,0.046010975,0.40102327,0.26087716,0.129567,-0.0013457822,0.0014750795,-0.0,0.048942104,0.014827387,0.014077486,0.0293606,0.014284174,-0.012827928,0.18779103,0.07474244,-0.0,-0.00017492968,-0.0,0.018856654,0.3100141,0.018801207
0.28968462,0.024111824,0.10836558,0.02183389,0.5331243,0.03280244,-0.06557129,0.100595675,0.020101057,-0.042292517,0.027690522,0.31367314,0.01267531,-0.01633465,-0.034002125,0.112764545,0.18710959,0.013363782,-0.011094267,0.09271984,-0.017311653,-0.078197934,0.008969929,-0.032134015,-0.014300741,0.00020854862,0.0036030442,-8.788333e-05,-0.0,-0.0,0.10532037,0.0031330327,0.01566997,0.036545288,0.40861014,0.12825057,0.07330153,-0.0034822503,0.0014179444,-0.0,0.019095208,0.0036606868,0.013505729,0.007567056,0.006270318,-0.0055422955,0.18044762,0.06517903,-0.0,-0.00013758453,-0.0,0.010567459,0.3363558,0.002839294
-0.11412098,-0.08407394,-0.15771756,-0.099846415,-0.45824057,0.0086473115,-0.06327253,0.03665794,-0.039144013,0.026662014,-0.06691157,-1.147322,0.0046162885,0.046527553,-0.06790088,-0.1067176,0.012543171,-0.090873174,-0.06851282,-0.09859435,-0.10629133,-0.021160955,-0.09967791,-0.0149809215,-0.0040385732,6.690167e-05,0.0028971748,-0.00021924723,-0.0,-0.0,-0.032163464,0.038827345,0.003523216,-0.025922876,0.19853376,-0.012228011,-0.0880379,-0.0386795,-0.13364221,-0.0,-0.31007636,-0.1074237,-0.07177444,-0.011287245,-0.02601587,-0.042329557,-0.015753066,-0.08292452,-0.0,-0.00083353056,-0.0,0.006066782,-0.057554476,-0.041409057
-0.031501036,0.010580549,0.012596417,0.20386626,0.4919924,0.042310335,0.07323436,0.17175438,-0.022440601,-0.024722334,0.097273745,0.74192524,0.02538457,0.033036433,-0.022178615,-0.09647073,0.05673783,-0.011054579,0.0010433905,0.025562288,0.12299492,0.13983783,0.0085539315,-0.02949164,-0.009307824,-7.07445e-05,-0.10842797,0.00089770136,-0.0,-0.0,0.03799301,0.012695144,-0.2667981,-0.0028354598,-0.298863,-0.09804591,0.008930706,0.072652355,0.00089234277,-0.0,0.010333011,0.0042607854,0.008043673,-0.002541168,-0.012554228,0.017438794,0.012624158,-0.026355421,-0.0,-0.00013484269,-0.0,0.00012774121,0.0032780243,-0.29835325
0.2359321,0.09357806,0.08496089,0.008303534,0.5147361,0.032229636,-0.046786893,0.13059235,-0.016680975,0.021359542,0.011306735,0.28697568,0.01170333,0.03061029,0.055264145,0.008967737,0.1700939,-0.041289534,0.07038187,0.07734087,-0.008578002,-0.038915955,-0.024999866,0.26373374,-0.01537959,0.00022167928,0.0036520099,-0.00013403918,-0.0,-0.0,0.086843744,0.02830621,0.008900107,0.03665678,0.3812403,0.26873237,-0.08005759,-0.0033556202,0.0011240155,-0.0,0.02316943,0.005277046,0.0135084,0.026479952,0.009998138,-0.0027481294,0.17024687,0.069423564,-0.0,-0.00013875704,-0.0,0.015923293,0.3625237,0.03446623
0.35500273,0.44624412,0.097998105,0.16710612,0.40945372,0.03366211,0.12814336,0.016821478,0.16595112,0.0009601543,0.107440345,0.84366995,0.016594239,0.09755621,-0.10530133,0.2517402,0.07002014,0.12013918,0.027999725,0.038673144,0.054219063,0.2079319,0.025140617,-0.015124697,-0.009448153,-2.7703049e-05,0.0048744073,0.0014329324,-0.0,-0.0,0.065648,-0.0029209768,-0.10650393,0.011211265,0.3950011,-0.080775216,0.1343561,-0.0048083197,0.00059222255,-0.0,0.012574212,0.0036660957,0.021323845,0.04274752,0.055943877,0.011840515,-0.004531676,-0.045303006,-0.0,-0.00015054579,-0.0,0.0025224613,0.051490646,0.017234735
-0.100907296,0.10232739,0.08534739,-0.017253539,-0.08521432,0.026121434,-0.094327785,0.041231263,-0.020612486,0.08704414,-0.09220453,0.17806002,0.011541322,1.7310842e-05,0.070721805,0.113551565,0.133473,-0.048194256,-0.027786858,0.008769025,-0.04209498,0.00376261,0.016623171,0.20657414,-0.01650558,0.00022172235,0.0036939944,-0.00034438027,-0.0,-0.0,0.025403075,-0.060324814,0.005564642,0.037442874,0.5965153,0.60878515,0.09459743,-0.003152795,0.0018956688,-0.0,0.02688095,0.008860568,0.016622845,0.004277996,0.012457985,-0.018162437,0.18162198,0.036094982,-0.0,-0.00015302781,-0.0,0.012615447,0.4034873,0.016213994
