trial_number,value_for_optimization,fold_metrics
42,0.9113241991705469,"[np.float64(0.9243378368063506), np.float64(0.9117497392056586), np.float64(0.9243378368063506), np.float64(0.9029367987176551), np.float64(0.9167429967178078), np.float64(0.8990853115538253), np.float64(0.8965855023789533), np.float64(0.9167588988117956), np.float64(0.9116161616161615), np.float64(0.9090909090909092)]"
43,0.9089283896903544,"[np.float64(0.9180278859120169), np.float64(0.9092372083555963), np.float64(0.9142590896369234), np.float64(0.8966300282421189), np.float64(0.9167493575554029), np.float64(0.9104298654046765), np.float64(0.8940666106912958), np.float64(0.9167525379742004), np.float64(0.9027777777777778), np.float64(0.9103535353535354)]"
44,0.9123343001806477,"[np.float64(0.923078390962522), np.float64(0.9180565096811948), np.float64(0.9218253059562883), np.float64(0.9004051853548075), np.float64(0.9117115741800881), np.float64(0.9116956720861003), np.float64(0.8940602498537007), np.float64(0.9180151642368267), np.float64(0.9141414141414141), np.float64(0.9103535353535354)]"
45,0.9101884716179425,"[np.float64(0.9192936925934407), np.float64(0.9117561000432537), np.float64(0.9268599089128057), np.float64(0.8966236674045238), np.float64(0.9079205149734118), np.float64(0.9129614787675241), np.float64(0.8978417678039845), np.float64(0.9167588988117956), np.float64(0.9015151515151515), np.float64(0.9103535353535352)]"
46,0.9128387146019387,"[np.float64(0.9243346563875532), np.float64(0.9130123654682849), np.float64(0.9268630893316032), np.float64(0.8978862936671501), np.float64(0.9129678396051193), np.float64(0.9066515278731904), np.float64(0.8978417678039845), np.float64(0.9192841513370481), np.float64(0.9103535353535354), np.float64(0.9191919191919192)]"
47,0.911071037834262,"[np.float64(0.9256004630689769), np.float64(0.9066992341551536), np.float64(0.925606823906572), np.float64(0.8991457395109788), np.float64(0.9129742004427143), np.float64(0.9104298654046765), np.float64(0.8965823219601556), np.float64(0.9192777904994529), np.float64(0.9053030303030303), np.float64(0.9090909090909092)]"
48,0.906151566038216,"[np.float64(0.9180278859120169), np.float64(0.90797458209297), np.float64(0.9192968730122382), np.float64(0.8827506806096227), np.float64(0.9117115741800881), np.float64(0.9116956720861003), np.float64(0.8965791415413582), np.float64(0.9091863216548355), np.float64(0.9053030303030303), np.float64(0.898989898989899)]"
49,0.909683739154772,"[np.float64(0.9192905121746431), np.float64(0.9155280767371448), np.float64(0.9268599089128057), np.float64(0.8915890644480065), np.float64(0.9154930921303717), np.float64(0.9142209246113528), np.float64(0.8940602498537007), np.float64(0.9117147545988855), np.float64(0.9065656565656566), np.float64(0.9015151515151515)]"
50,0.9120801847187237,"[np.float64(0.9218157646998957), np.float64(0.9117529196244561), np.float64(0.9293819810192606), np.float64(0.9016741724550289), np.float64(0.9117020329236953), np.float64(0.9079046128794239), np.float64(0.8965791415413582), np.float64(0.9180215250744218), np.float64(0.9090909090909091), np.float64(0.9128787878787878)]"
51,0.9124592906393915,"[np.float64(0.920556318856067), np.float64(0.914268630893316), np.float64(0.9268662697504007), np.float64(0.9004115461924027), np.float64(0.9154930921303717), np.float64(0.9167398162990102), np.float64(0.8940570694349032), np.float64(0.9192809709182506), np.float64(0.9103535353535354), np.float64(0.9065656565656566)]"
