number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
57,0.8333333333333334,0.8333333333333334,3,0.5063661068874041,140,1.0596303688391744,0.009439806833950118,11,1,1884,1.3262113471141084,3.8712811873068564,3,5,0.9992473883020812,COMPLETE,0.8009691258714472,0.8333333333333334
58,0.8105263157894737,0.8105263157894737,3,0.6102136150511543,277,2.3984581594795995,0.002257662835517263,19,1,1553,2.2622617258720723,3.3233952049878717,3,5,0.6871954384206013,COMPLETE,0.7772944916877347,0.8105263157894737
59,0.8157894736842105,0.8157894736842105,3,0.8415659242733543,158,0.7723281012152847,0.00157501219755445,15,7,1746,1.5828408875819844,2.4848249448826083,3,5,0.9519316412552661,COMPLETE,0.7821152225542021,0.8157894736842105
60,0.8192982456140351,0.8192982456140351,3,0.712215860158028,247,0.17598420821342997,0.006055721004091275,22,3,1414,1.6833081766058153,2.9796338481049665,3,5,0.563166500959563,COMPLETE,0.8014077223626753,0.8192982456140351
61,0.8368421052631579,0.8368421052631579,3,0.7435505341296674,261,0.1343532452579179,0.007384201313089298,13,2,1920,1.8878699695489933,2.1156731257561,3,5,0.9094002841062733,COMPLETE,0.8075461579713477,0.8368421052631579
62,0.8280701754385965,0.8280701754385965,3,0.7818948950734169,76,0.4286566505018202,0.010270142255927239,15,2,1996,1.4217934023779222,2.3570773538271714,3,5,0.9792473163863817,COMPLETE,0.8000900176204704,0.8280701754385965
63,0.8368421052631579,0.8368421052631579,3,0.6833917233299414,110,0.1617695263805981,0.006484879976705377,17,1,1785,1.9675439573704159,1.8261829573245572,3,5,0.9385101104552159,COMPLETE,0.8084176051482418,0.8368421052631579
64,0.8,0.8,3,0.729628048383418,43,0.6563647116811936,0.0045760380684989254,6,3,1888,1.7208150416598724,2.68009712282976,3,5,0.8862289356336791,COMPLETE,0.7365031027350035,0.8
65,0.8491228070175438,0.8491228070175438,3,0.6637349064409268,223,0.3829249774293411,0.12937950341957286,20,2,1622,2.707584884854665,3.1278905815005684,3,5,0.9169262406085015,COMPLETE,0.8040393013100436,0.8491228070175438
66,0.8105263157894737,0.8105263157894737,3,0.6729441709453368,224,0.8519851466992443,0.13769022180235455,24,5,1253,3.0458139823653245,3.081046417736463,3,5,0.40197718045894665,COMPLETE,0.7935014939094461,0.8105263157894737
67,0.8210526315789474,0.8210526315789474,3,0.6655481215305106,266,0.39582456692402157,0.06394096598717078,20,1,247,2.7278699703114357,3.4800237201336506,3,5,0.9475661518339407,COMPLETE,0.8027177660307974,0.8210526315789474
68,0.8298245614035088,0.8298245614035088,3,0.6105118767729452,207,0.6290048218423526,0.04394910682444679,19,4,1608,2.552158906157641,3.795864129394513,3,5,0.9207958088077884,COMPLETE,0.8022849153451315,0.8298245614035088
69,0.8122807017543859,0.8122807017543859,3,0.7052138919283273,236,3.768386518629325,0.14534021755190799,23,2,510,2.854321548204525,3.2391772715169114,3,5,0.9713809171850295,COMPLETE,0.7794913046809163,0.8122807017543859
70,0.8070175438596491,0.8070175438596491,3,0.5239341961020064,290,4.717538792016096,0.012036755650203533,21,3,1508,2.368690107945239,2.790917534121997,3,5,0.8470555747082364,COMPLETE,0.773347123266682,0.8070175438596491
71,0.8403508771929824,0.8403508771929824,3,0.7507927583756623,246,0.13080498005099364,0.0027778073501107505,16,2,1808,2.165528792219379,2.1523391694320293,3,5,0.9140552664631181,COMPLETE,0.7987761434153068,0.8403508771929824
72,0.8315789473684211,0.8315789473684211,3,0.7731329715314359,249,0.0223019675003701,0.0027766101193113586,18,2,1709,2.195089934653149,2.6217034093010563,3,5,0.9630098347855496,COMPLETE,0.8005286141116985,0.8315789473684211
73,0.8385964912280702,0.8385964912280702,3,0.4517356464762684,224,0.35886190027000514,0.004033629504542739,22,1,1653,2.423330482273086,2.0445181480885752,3,5,0.9837579817748647,COMPLETE,0.8044740672642303,0.8385964912280702
74,0.7947368421052632,0.7947368421052632,3,0.7989115623901083,241,0.1357559994855678,0.001044202522715915,14,2,688,2.764645346474536,2.259637705903654,3,5,0.9144782876219044,COMPLETE,0.7654523864245768,0.7947368421052632
75,0.8140350877192982,0.8140350877192982,3,0.6533775824221587,256,0.5362290428817955,0.0029041069937949357,18,14,1812,2.024756988128483,2.924544427521779,3,5,0.9443505711163953,COMPLETE,0.7816785413314947,0.8140350877192982
76,0.8,0.8,3,0.7221918202145481,173,0.30368273515168365,0.0034972854939107033,20,3,427,3.5058974981907136,3.5534181088644305,3,5,0.8760477151977085,COMPLETE,0.7685244771316938,0.8
77,0.8263157894736842,0.8263157894736842,3,0.6269811443690685,231,0.7517726685421368,0.002379436538696973,17,4,1747,2.9541032971947083,3.2108811875987486,3,5,0.9883209154571599,COMPLETE,0.7803589213207692,0.8263157894736842
78,0.8087719298245614,0.8087719298245614,3,0.7534572586654769,200,1.08648262504703,0.005570887646233254,19,1,1001,3.2835919406841247,4.055706439058371,3,5,0.4685589548768619,COMPLETE,0.7895694476365587,0.8087719298245614
79,0.8385964912280702,0.8385964912280702,3,0.6944693205413247,267,0.11584363186649174,0.07957202229473113,16,2,1839,2.536412773886677,1.6875212108224442,3,5,0.9353603292496506,COMPLETE,0.8075404121657856,0.8385964912280702
80,0.8245614035087719,0.8245614035087719,3,0.5695589461805731,192,0.869299280196107,0.22946006043601447,12,3,1166,1.1721515208439532,2.5617595734412033,3,5,0.9653760368522557,COMPLETE,0.7956963916341071,0.8245614035087719
81,0.8403508771929824,0.8403508771929824,3,0.7506025221609983,217,0.1868200746895905,0.0076989225312921,16,2,1947,2.1414296315988888,1.9160488038771324,3,5,0.8965629919239644,COMPLETE,0.8062284532291427,0.8403508771929824
82,0.8421052631578947,0.8421052631578947,3,0.8008365788061574,216,0.48729113905702426,0.00889591081636031,13,1,1929,2.1008391775217765,2.1630385424410123,3,5,0.8995278230483086,COMPLETE,0.8071056462115989,0.8421052631578947
83,0.8456140350877193,0.8456140350877193,3,0.8049369662862481,216,0.4781526669585582,0.00829078039274901,14,2,1931,2.2193875823277116,2.1791601028750964,3,5,0.9037251622222118,COMPLETE,0.8014077223626753,0.8456140350877193
