number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
48,0.9557972552348614,0.9557972552348614,3,0.5324853117082097,250,0.28725214950248806,0.030981075383629264,13,5,1730,2.5857019599155056,3.689956387720369,3,5,0.6938873038113281,COMPLETE,0.804037386041523,0.9557972552348614
49,0.9474904499151103,0.9474904499151103,3,0.48369787322578844,180,0.9947726810894726,0.0063170068774156315,9,9,1887,3.051028011550396,4.998376073710608,3,5,0.5849443913083808,COMPLETE,0.7790507929211676,0.9474904499151103
50,0.9490432229767969,0.9490432229767969,3,0.4580937910587447,157,2.3756435741645667,0.017181406277856113,14,6,963,0.8548261195306417,3.4111035379724886,3,5,0.4558235789018247,COMPLETE,0.7834329272964069,0.9490432229767969
51,0.9497559422750425,0.9497559422750425,3,0.5100624173491478,283,0.012432881619704968,0.004316559521447211,8,3,1632,2.2201003579472145,3.8528556308072015,3,5,0.6421864865405794,COMPLETE,0.786505018003524,0.9497559422750425
52,0.9578646717600453,0.9578646717600453,3,0.5604061460201354,200,0.2107471561930749,0.011112906462160071,10,2,1903,1.3996666483341227,4.309597488718364,3,5,0.5874025880840524,COMPLETE,0.8040335555044816,0.9578646717600453
53,0.9570723684210526,0.9570723684210526,3,0.5623618056258713,199,0.5297005325253233,0.009890414756257621,10,2,1772,1.52645449787561,4.364470555417183,3,5,0.5942503448695982,COMPLETE,0.8044664061901479,0.9570723684210526
54,0.9572368421052632,0.9572368421052632,3,0.5611544141602025,220,0.5849209768822419,0.007441790654838681,10,2,1768,1.447974910887663,4.270971194902749,3,5,0.6766871587001232,COMPLETE,0.8057898567379148,0.9572368421052632
55,0.9567929400113185,0.9567929400113185,3,0.5602887998233205,218,0.5879336503704488,0.00711113838169871,10,2,1778,1.4256048179072063,4.354931293682377,3,5,0.6809536299931542,COMPLETE,0.8053512602466866,0.9567929400113185
56,0.9527261955291455,0.9527261955291455,3,0.601956566593077,173,1.423810706819606,0.01012247399450731,16,2,329,1.0429516172210334,4.111542349657699,3,5,0.6510350108909214,COMPLETE,0.7926357925381138,0.9527261955291455
57,0.9552154074702887,0.9552154074702887,3,0.5206212524132693,208,0.22072462548173394,0.003065814814476777,13,1,1500,1.4150426713387225,4.781589561526133,3,5,0.7523568308191901,COMPLETE,0.7961483950049797,0.9552154074702887
58,0.9552313242784382,0.9552313242784382,3,0.6704980870504376,236,0.9083390236030726,0.007408172996849808,9,4,1905,1.0393024416396033,4.321495529632751,3,5,0.7000957329703921,COMPLETE,0.8040393013100436,0.9552313242784382
59,0.957197934352009,0.957197934352009,3,0.5465290509043594,199,1.123909910068628,0.004706989516428911,20,1,1767,0.7724146218383106,3.6335403567737306,3,5,0.7277228982980797,COMPLETE,0.8009691258714471,0.957197934352009
60,0.9495118845500848,0.9495118845500848,3,0.5938737698300592,166,1.1361795404297959,0.0050360988698166555,21,12,1593,0.24479177387243534,3.5845176985432623,3,5,0.7158915841027205,COMPLETE,0.7904504711560562,0.9495118845500848
61,0.9588992642897566,0.9588992642897566,3,0.555345481799138,181,0.6115131856829126,0.010044565298232075,21,1,1762,0.6595489540095343,4.450196402214999,3,5,0.7313691504525057,COMPLETE,0.8075404121657856,0.9588992642897566
62,0.9565471137521222,0.9565471137521222,3,0.5307669900260423,180,0.6442499053281066,0.0015886920604734555,24,1,1759,0.7142266718172448,4.054466360086622,3,5,0.745597838720001,COMPLETE,0.7895694476365588,0.9565471137521222
63,0.9497426782682512,0.9497426782682512,3,0.5387100179864014,225,4.4350856540152845,0.005593017286478733,20,1,1915,0.777613883200768,4.548914581219732,3,5,0.7670357333209028,COMPLETE,0.7834290967593656,0.9497426782682512
64,0.9590831918505942,0.9590831918505942,3,0.5737802637669349,145,0.21568662892983648,0.016025608054874164,23,2,1808,0.6110231423523012,3.2208769142326696,3,5,0.7859188556493615,COMPLETE,0.8097353098904465,0.9590831918505942
65,0.9588568194680249,0.9588568194680249,3,0.6003545333374883,186,0.19052559494246168,0.011246228541606687,22,1,1659,0.652826924848303,3.3400836499020823,3,5,0.8281453493070365,COMPLETE,0.8084176051482418,0.9588568194680249
66,0.9546485922467459,0.9546485922467459,3,0.604679193375937,148,1.733830588126601,0.0040821591580505545,23,1,1814,0.6066817986370682,3.289762046377777,3,5,0.8430656004575612,COMPLETE,0.7983375469240788,0.9546485922467459
67,0.9578310696095077,0.9578310696095077,3,0.6438185978778815,187,0.7662560663938104,0.01946626879919603,27,2,1635,0.38415444621947675,3.1285253311229644,3,5,0.8892512238370854,COMPLETE,0.8057860262008735,0.9578310696095077
68,0.9532744411431806,0.9532744411431806,3,0.6532916545350397,186,3.1585564127297054,0.019594567328734876,26,2,1655,0.34095053947136106,2.8008114351565276,3,5,0.9136952583344501,COMPLETE,0.7952712020225237,0.9532744411431806
69,0.9580043859649123,0.9580043859649123,3,0.7064063266094397,130,0.7263270909815208,0.029990339644118815,30,2,1932,0.23550965559386605,3.0929107466222474,3,5,0.8861313135007953,COMPLETE,0.8040335555044817,0.9580043859649123
70,0.9576612903225806,0.9576612903225806,3,0.7244670033515597,138,0.7895289068161823,0.02900800707327208,29,2,1933,0.13125925056753515,2.9563373314047237,3,5,0.8411254182509424,COMPLETE,0.8049107484869378,0.9576612903225806
71,0.955661078098472,0.955661078098472,3,0.7376421250676553,133,0.8740212648908099,0.034114087334069974,29,2,1915,0.2548530167716879,2.9295904131652404,3,5,0.8830840617992256,COMPLETE,0.8000900176204704,0.955661078098472
72,0.9574013157894736,0.9574013157894736,3,0.6967795819079696,146,0.7298321536288306,0.028204505416889646,28,2,1829,0.005262093236118981,3.138702529063357,3,5,0.8383906238019452,COMPLETE,0.805349344978166,0.9574013157894736
73,0.9565683361629881,0.9565683361629881,3,0.6929858310984235,126,0.7168682537022025,0.04962720467260705,28,1,1823,0.00782791669820826,3.1270880752368337,3,5,0.8316425652578923,COMPLETE,0.8114820347812763,0.9565683361629881
74,0.9587913837011885,0.9587913837011885,3,0.76171722185559,150,0.19827150380568326,0.02758865907914756,27,2,1930,0.1382988986466188,2.6274634351526864,3,5,0.9579363802222634,COMPLETE,0.8101700758446334,0.9587913837011885
75,0.9572014714204866,0.9572014714204866,3,0.7828697785343955,152,0.45555645497057123,0.04041983188904112,26,1,1943,0.48846545679981324,2.6242917933554057,3,5,0.948964236875803,COMPLETE,0.8070979851375164,0.9572014714204866
76,0.9583280277306169,0.9583280277306169,3,0.7514322419092929,164,0.19418218158537448,0.015600271450707958,30,2,752,0.15745295066427956,2.751478494734562,3,5,0.8896729872880023,COMPLETE,0.8084195204167625,0.9583280277306169
77,0.9581989247311826,0.9581989247311826,3,0.7670961835538348,168,0.2215664746365299,0.01598180734086306,23,1,720,0.9199960600252983,2.1306976263710706,3,5,0.8831936543828918,COMPLETE,0.8123649735692945,0.9581989247311826
78,0.9576471420486701,0.9576471420486701,3,0.759631874416017,169,0.18188251528589672,0.011534574223189752,23,1,459,0.5625659589788569,2.089835027308264,3,5,0.9578722628475033,COMPLETE,0.8022772542710488,0.9576471420486701
79,0.9584801216751555,0.9584801216751555,3,0.8461663063902736,120,0.1809345342496698,0.014589123569965846,22,1,693,0.9480917989218051,2.4602015365779697,3,5,0.7953505919319032,COMPLETE,0.8132421665517505,0.9584801216751555
80,0.9565718732314658,0.9565718732314658,3,0.8334827067571887,123,0.4320173316198629,0.016648874837730372,22,1,619,0.8896423138928508,2.475891212987218,3,5,0.9981244488760412,COMPLETE,0.807538496897265,0.9565718732314658
