SIDECHAINS_Br,SIDECHAINS_C,SIDECHAINS_C#C,SIDECHAINS_C#N,SIDECHAINS_C=C,SIDECHAINS_C=CC,SIDECHAINS_C=C\C,SIDECHAINS_C=N,SIDECHAINS_C=O,SIDECHAINS_CBr,SIDECHAINS_CC,SIDECHAINS_CC(C)C,SIDECHAINS_CC(C)N,SIDECHAINS_CC(C)O,SIDECHAINS_CC(F)F,SIDECHAINS_CC=C,SIDECHAINS_CC=O,SIDECHAINS_CCC,SIDECHAINS_CCN,SIDECHAINS_CCO,SIDECHAINS_CCS,SIDECHAINS_CCl,SIDECHAINS_CF,SIDECHAINS_CN,SIDECHAINS_CNC,SIDECHAINS_CNS,SIDECHAINS_CO,SIDECHAINS_CP,SIDECHAINS_CS,SIDECHAINS_CS(=O)=O,SIDECHAINS_C_N+_,SIDECHAINS_C_N+_(C)C,SIDECHAINS_C_S+_,SIDECHAINS_C_S+__O-_,SIDECHAINS_C\C=C,SIDECHAINS_C\C=N,SIDECHAINS_Cl,SIDECHAINS_ClC(Cl)Cl,SIDECHAINS_ClCCl,SIDECHAINS_F,SIDECHAINS_FC(F)F,SIDECHAINS_FCF,SIDECHAINS_I,SIDECHAINS_N,SIDECHAINS_N=CN,SIDECHAINS_N=N,SIDECHAINS_N=O,SIDECHAINS_N=_N+_,SIDECHAINS_NC=O,SIDECHAINS_NC=S,SIDECHAINS_NCN,SIDECHAINS_NN,SIDECHAINS_NO,SIDECHAINS_NS,SIDECHAINS_NS(=O)=O,SIDECHAINS_O,SIDECHAINS_O=CO,SIDECHAINS_O=CS,SIDECHAINS_O=P,SIDECHAINS_O=P(O)O,SIDECHAINS_O=S,SIDECHAINS_O=S(=O)O,SIDECHAINS_O=S=O,SIDECHAINS_O=_N+__O-_,SIDECHAINS_OP,SIDECHAINS_OS,SIDECHAINS_S,SIDECHAINS__N+_=O,SIDECHAINS__N+_O,SIDECHAINS__N-_,SIDECHAINS__N-_=_N+_,SIDECHAINS__O-_
0.001254154,-0.025731906,0.0047404994,0.0021806282,0.0019173791,-0.0,-0.0,0.0028628684,-0.0911164,-0.0,0.011278201,0.00288582,-0.0,-2.2907507e-05,-0.0,5.727515e-05,0.016275752,0.017118262,0.0005681857,-0.007486944,-2.5818856e-05,0.0024367755,1.5296322e-05,-0.044074055,0.0045059756,-0.0,0.031719726,-0.0,0.00872761,2.5709698e-05,9.177363e-05,2.0428182e-05,-0.0,-0.0,-0.0,-0.0,-0.010837216,-0.00013546311,-9.018196e-06,0.3664486,0.0011794916,-0.0,0.0009875878,-0.012277629,-0.0,-0.0,0.00012249446,-0.0,0.011594808,-0.0,-0.0,-0.0002693734,0.00018341019,-0.0003452936,0.0012982623,-0.061386317,0.11845979,-0.0,-0.0,-3.6738544e-05,-0.0,-1.0619705e-05,0.00091190485,0.00015228539,-0.0,-0.0,0.00748227,2.3112194e-05,5.5212193e-05,-0.0,-0.0,-0.00021280267
0.001364456,0.05292273,0.0023598908,-0.0780918,0.0009706161,-0.0,-0.0,0.00254675,0.023449177,-0.0,0.005664421,0.00352222,-0.0,-3.3838733e-05,-0.0,0.00039470533,0.0072414605,0.007849617,0.0021855305,-0.009590826,-2.6433248e-05,0.0024101308,1.5296322e-05,-0.102201045,0.0012927505,-0.0,-0.0049804575,-0.0,0.0109175425,-1.3163044e-05,0.00043996793,2.1841875e-05,-0.0,-0.0,-0.0,-0.0,0.112107396,-0.00019235176,-9.018196e-06,0.295697,0.00091213844,-0.0,0.0014922436,0.00045822343,-0.0,-0.0,0.0001227728,-0.0,0.0040733377,-0.0,-0.0,-0.00028020566,0.00022828038,-0.0011351437,0.002578321,0.018169422,0.096704826,-0.0,-0.0,-4.6005913e-05,-0.0,-9.833082e-06,0.0027896285,0.0013811443,-0.0,-0.0,0.008341061,1.966312e-05,5.511127e-05,-0.0,-0.0,-0.0002275748
0.0014500474,0.018581254,0.003602943,0.002171329,8.60076e-06,-0.0,-0.0,0.0007909838,0.013168666,-0.0,-0.03132467,0.0020619237,-0.0,-1.8619243e-05,-0.0,3.803832e-05,-0.0004163963,0.009626566,0.00091918034,-0.011822842,-2.4582745e-05,0.0013512443,1.3863249e-05,-0.03551381,0.0012163566,-0.0,0.01372248,-0.0,0.006729863,0.0007266009,9.284466e-05,1.8080806e-05,-0.0,-0.0,-0.0,-0.0,-0.019559154,-0.00019081254,-4.6520854e-05,-0.01655964,0.00019861312,-0.0,0.0009779492,-0.09103081,-0.0,-0.0,1.3041715e-05,-0.0,0.0023587823,-0.0,-0.0,-0.0006667341,0.00036242776,-0.00055072096,0.0012155371,0.11079304,0.05661986,-0.0,-0.0,-4.9436865e-05,-0.0,-1.4258358e-05,0.0070701214,0.0017577207,-0.0,-0.0,0.005197076,6.2337516e-05,1.3665498e-05,-0.0,-0.0,-0.00031421406
0.0003368403,-0.0052042333,0.00087860733,-0.00020174799,0.0013030765,-0.0,-0.0,-0.032196976,0.009104788,-0.0,0.009344123,-4.853764e-05,-0.0,-0.0001533374,-0.0,1.45319955e-05,-0.00912078,-0.0012673675,-0.008310869,-0.024973387,-0.00019428725,0.00036913867,1.3863249e-05,0.026767967,0.00010784411,-0.0,-0.0037376995,-0.0,-0.08219251,-0.00016953706,3.461011e-05,4.656456e-06,-0.0,-0.0,-0.0,-0.0,-0.009134015,-0.000109643,-8.5366055e-06,-0.022476587,-0.0002120586,-0.0,0.00030523984,0.026581364,-0.0,-0.0,4.339381e-06,-0.0,0.03049853,-0.0,-0.0,-0.00010820993,-0.00032165856,-0.0013056211,6.98007e-06,-0.038783483,-0.22007924,-0.0,-0.0,-0.00022911534,-0.0,-9.015548e-05,-0.001965488,-0.0008664359,-0.0,-0.0,0.004015038,-3.3565266e-05,8.7929075e-06,-0.0,-0.0,-0.00029824206
0.0011600426,-0.03478581,0.005168998,0.00093592895,-0.00039251742,-0.0,-0.0,0.001727579,0.01781957,-0.0,-0.0006873149,0.002622412,-0.0,-1.03235225e-05,-0.0,2.8924762e-05,0.0054190974,0.014278007,0.0015877977,-0.009378516,-2.4555893e-05,0.0021459449,1.5296322e-05,-0.019342327,0.004507738,-0.0,0.013006965,-0.0,0.0075249616,0.002370053,0.00011159681,1.2737346e-05,-0.0,-0.0,-0.0,-0.0,0.09029291,-0.00012833049,-0.000100388934,-0.024818849,8.1578095e-05,-0.0,0.00077514036,-0.0014172898,-0.0,-0.0,1.3882761e-05,-0.0,0.0037469855,-0.0,-0.0,-0.00015482344,0.00011293271,-0.00050588715,0.0008557197,-0.057745352,0.09534807,-0.0,-0.0,-3.5929446e-05,-0.0,-1.4258358e-05,0.013577007,0.0010365039,-0.0,-0.0,0.0069976086,0.0001635568,5.7802426e-05,-0.0,-0.0,0.00067836454
0.00040956828,-0.008138354,0.0010830064,-0.00013548216,0.0017462865,-0.0,-0.0,-0.052799046,0.013863066,-0.0,0.003942856,8.412624e-05,-0.0,-3.4607805e-05,-0.0,2.063345e-05,-0.00939457,0.0055207284,-0.00962985,-0.026696118,-0.00019411769,0.00035733392,9.67758e-06,0.0049807504,0.0006317866,-0.0,0.0004906941,-0.0,0.0065816483,-0.00019867723,3.191886e-05,4.6614173e-06,-0.0,-0.0,-0.0,-0.0,-0.0075186067,-0.00010584817,-8.5366055e-06,-0.02635148,-0.00042825413,-0.0,0.00028783223,0.026732877,-0.0,-0.0,4.339381e-06,-0.0,-0.022811707,-0.0,-0.0,-0.00010613064,-0.0003213572,-0.00079541636,0.0008983291,-0.024672382,-0.30661374,-0.0,-0.0,-0.00022911534,-0.0,-9.015548e-05,-0.00057503907,-0.0011867213,-0.0,-0.0,0.0044475147,2.541296e-05,1.0208965e-05,-0.0,-0.0,-7.5217875e-05
0.00088834827,-0.0025564078,0.0024004765,-0.03951773,0.003910229,-0.0,-0.0,0.0024643883,0.008823098,-0.0,-0.02797322,0.0014608898,-0.0,-2.2907507e-05,-0.0,6.766319e-05,0.003120042,0.0064265262,-0.0010275058,-0.009946639,-2.8380837e-05,0.0015709333,1.5296322e-05,-0.07034075,0.0014657902,-0.0,0.004914843,-0.0,0.00739853,0.0001058336,0.00024836915,3.480591e-05,-0.0,-0.0,-0.0,-0.0,-0.006333646,-0.00014745173,-9.018196e-06,-0.026293425,4.457515e-05,-0.0,0.000693917,-0.0121655045,-0.0,-0.0,2.1404492e-05,-0.0,0.0024644646,-0.0,-0.0,-0.00030253828,0.00026302412,-0.0004969207,0.0019347816,0.26343387,-0.6040937,-0.0,-0.0,-3.9310762e-05,-0.0,-7.185218e-06,0.00042921715,-0.000274965,-0.0,-0.0,0.0064104884,2.4345669e-05,5.4973425e-05,-0.0,-0.0,-0.00029189073
0.0011656011,-0.01637103,0.008742802,0.0018625191,0.0022895657,-0.0,-0.0,0.001708934,0.020696793,-0.0,-0.024160331,0.0046235775,-0.0,-7.1173895e-06,-0.0,6.781269e-05,0.01996504,0.0149813285,0.002328604,-0.009802518,-2.8368613e-05,0.002818329,1.5296322e-05,0.16275832,0.0069033625,-0.0,0.02892906,-0.0,0.0072644483,0.00026072038,5.430428e-05,2.0563764e-05,-0.0,-0.0,-0.0,-0.0,-0.018054333,-0.00011275145,-9.018196e-06,-0.020299392,0.0013832992,-0.0,0.0012021798,-0.00862432,-0.0,-0.0,2.8537965e-05,-0.0,0.008594472,-0.0,-0.0,-0.000164971,0.00044228416,-0.00023931634,0.00089902926,-0.07312985,0.0934432,-0.0,-0.0,-2.8068154e-05,-0.0,-7.68098e-06,0.004894725,0.00033701336,-0.0,-0.0,0.0068633584,6.085428e-05,6.016385e-05,-0.0,-0.0,0.00027703083
0.0038820463,-0.002458646,0.0031425075,0.0032408657,-0.00043046073,-0.0,-0.0,0.0018470486,0.017636254,-0.0,0.04321882,0.0029184988,-0.0,-1.192518e-05,-0.0,0.0002865011,0.004517097,0.012085545,0.0022727763,-0.009219033,-2.2918979e-05,0.0030049724,1.5296322e-05,0.001830229,-0.011713894,-0.0,0.023920285,-0.0,0.009224891,5.7238685e-05,0.0009557313,0.00012754186,-0.0,-0.0,-0.0,-0.0,0.023928542,-0.00014314716,-0.000100388934,-0.0141878035,0.0007698771,-0.0,0.002194618,-0.00345692,-0.0,-0.0,0.0001227728,-0.0,-1.5921607e-05,-0.0,-0.0,-0.00034976192,0.0009990638,-0.00074167806,0.0014309702,0.34795493,0.09053462,-0.0,-0.0,-4.593532e-05,-0.0,-8.60531e-06,0.0029396948,0.0017161284,-0.0,-0.0,0.010242688,0.00014292024,4.740018e-05,-0.0,-0.0,0.00010308373
0.0009005992,-0.03199131,0.0050180145,0.0016005883,0.002457764,-0.0,-0.0,0.0022353004,0.010767626,-0.0,0.016747534,0.004235342,-0.0,-2.2907507e-05,-0.0,6.766319e-05,0.012634537,0.015770156,0.0017223194,-0.010080888,-2.8380837e-05,0.0024177167,1.5296322e-05,0.16236515,0.0035463804,-0.0,0.043118365,-0.0,0.007440568,-1.43071375e-05,0.00011640757,1.2375582e-05,-0.0,-0.0,-0.0,-0.0,-0.01518744,-0.0001405325,-9.018196e-06,-0.025160886,0.00089128705,-0.0,0.0009253649,-0.00021680615,-0.0,-0.0,0.00012249446,-0.0,0.008055194,-0.0,-0.0,-0.00021917107,0.00014282808,-0.00020044137,0.0018818291,-0.022502635,0.11265943,-0.0,-0.0,-3.9303264e-05,-0.0,-1.0619705e-05,0.0015872988,0.00018353434,-0.0,-0.0,0.0072039696,2.9052719e-05,5.5289056e-05,-0.0,-0.0,3.3952638e-06
